Date,CTVA,IR,ACMR,ALTM,BNTX,BWB,CARG,CGBD,CHX,CMBM,CRNC,EXPI,EYE,FLMN,FNKO,FOCS,FRG,FTDR,FUTU,GO,GRWG,GSHD,GSKY,GTX,HHR,HLNE,ILPT,IMXI,INMD,LAZY,LBC,LPRO,LSEA,LX,MESA,MRBK,NCSM,NESR,NIU,NMRK,OPRA,OPRT,PECO,PGNY,PLMR,PNTG,ROAD,ROKU,RTLR,SCPL,SGH,SITM,SMPL,STXB,TW,VCTR,VRRM,XP,SAFE
2019-08-26,28.002954483032227,26.14084243774414,13.9399995803833,2.076094627380371,,11.5,31.809999465942383,10.576850891113281,24.6200008392334,9.039999961853027,,4.158087253570557,27.260000228881836,5.208894729614258,22.329999923706055,20.280000686645508,10.576966285705566,49.79999923706055,10.59000015258789,42.79999923706055,5.329999923706055,45.760677337646484,7.0,10.329999923706055,17.547710418701172,55.876895904541016,18.668182373046875,13.529999732971191,10.774999618530273,4.739999771118164,10.237518310546875,10.170000076293945,10.190999984741211,10.109999656677246,6.460000038146973,16.77128028869629,42.0,7.579999923706055,8.329999923706055,8.133188247680664,13.09000015258789,,,,33.88999938964844,,15.010000228881836,143.00999450683594,14.519417762756348,10.010000228881836,13.244999885559082,,28.989999771118164,20.61282730102539,42.415618896484375,15.216273307800293,13.59000015258789,,27.823232650756836
2019-08-27,27.723115921020508,25.68694305419922,13.859999656677246,2.030566692352295,,11.239999771118164,31.940000534057617,10.458008766174316,24.1299991607666,9.539999961853027,,4.048269748687744,26.989999771118164,5.182764053344727,22.219999313354492,20.1200008392334,10.56813907623291,49.54999923706055,10.920000076293945,44.0099983215332,5.150000095367432,47.44232940673828,6.829999923706055,9.989999771118164,17.22416114807129,57.545005798339844,18.535022735595703,13.850000381469727,10.704999923706055,4.739999771118164,10.026040077209473,10.199999809265137,10.199999809265137,10.039999961853027,6.329999923706055,16.637243270874023,42.599998474121094,7.519999980926514,7.809999942779541,8.211112022399902,12.699999809265137,,,,33.310001373291016,,15.119999885559082,147.02000427246094,14.494355201721191,10.15999984741211,13.130000114440918,,28.940000534057617,20.61282730102539,42.30685806274414,14.826112747192383,13.520000457763672,,27.93016815185547
2019-08-28,28.147693634033203,25.94631576538086,13.90999984741211,2.1034116744995117,,11.359999656677246,31.829999923706055,10.584278106689453,25.200000762939453,9.4399995803833,,4.073228359222412,27.709999084472656,5.095658302307129,22.850000381469727,19.8700008392334,10.594625473022461,49.9900016784668,11.09000015258789,42.56999969482422,5.28000020980835,45.58262252807617,6.820000171661377,9.920000076293945,17.41448211669922,58.461021423339844,18.978872299194336,13.619999885559082,10.800000190734863,4.739999771118164,10.122166633605957,10.199999809265137,10.199999809265137,10.359999656677246,6.389999866485596,16.44040870666504,42.20000076293945,7.619999885559082,7.670000076293945,8.318253517150879,13.149999618530273,,,,32.79999923706055,,15.119999885559082,145.88999938964844,14.836874008178711,10.069999694824219,13.1899995803833,,29.0,20.514671325683594,42.24753189086914,14.816356658935547,13.6899995803833,,28.192649841308594
2019-08-29,28.66876983642578,26.390949249267578,14.260000228881836,2.167151689529419,,11.34000015258789,32.70000076293945,10.643698692321777,26.100000381469727,9.390000343322754,,4.2579216957092285,28.829999923706055,5.095658302307129,23.809999465942383,20.149999618530273,10.585795402526855,50.90999984741211,11.0,41.81999969482422,5.353000164031982,45.93873596191406,6.760000228881836,9.84000015258789,17.604806900024414,60.10020446777344,18.925613403320312,13.09000015258789,10.824999809265137,4.876999855041504,10.122166633605957,10.199999809265137,10.220000267028809,9.829999923706055,6.71999979019165,16.449783325195312,45.79999923706055,7.760000228881836,7.980000019073486,8.38643741607666,13.5,,,,34.560001373291016,,16.15999984741211,149.8800048828125,15.087496757507324,9.90999984741211,13.569999694824219,,30.020000457763672,20.59319496154785,43.24613952636719,15.304058074951172,13.789999961853027,,28.066272735595703
2019-08-30,28.292438507080078,26.56694984436035,14.300000190734863,2.1034116744995117,,11.130000114440918,32.619998931884766,10.71054744720459,25.979999542236328,8.989999771118164,,4.342780590057373,28.360000610351562,5.104368209838867,23.989999771118164,20.520000457763672,10.559308052062988,51.34000015258789,10.800000190734863,40.45000076293945,5.420000076293945,45.74089431762695,6.800000190734863,9.84000015258789,17.32883644104004,59.91699981689453,18.987749099731445,13.039999961853027,9.949999809265137,4.75,10.054878234863281,10.199999809265137,10.220000267028809,10.25,6.460000038146973,16.449783325195312,43.20000076293945,7.659999847412109,7.889999866485596,8.454620361328125,13.609999656677246,,,,34.029998779296875,,16.489999771118164,151.36000061035156,15.296347618103027,9.510000228881836,14.204999923706055,,29.6299991607666,20.220203399658203,42.18627166748047,15.577173233032227,13.920000076293945,,28.48430061340332
2019-09-03,27.24064064025879,25.436832427978516,14.710000038146973,2.021460771560669,,10.869999885559082,31.81999969482422,10.643698692321777,26.110000610351562,8.779999732971191,,4.188037872314453,27.6200008392334,5.0346856117248535,23.3700008392334,19.780000686645508,10.532822608947754,50.33000183105469,10.630000114440918,40.29999923706055,5.679999828338623,45.80024719238281,6.670000076293945,9.609999656677246,17.604806900024414,59.78201675415039,19.09427261352539,12.970000267028809,11.194999694824219,4.75,9.920299530029297,10.1899995803833,10.25,10.649999618530273,6.460000038146973,16.77128028869629,43.79999923706055,7.71999979019165,7.599999904632568,8.318253517150879,13.5600004196167,,,,33.97999954223633,,15.050000190734863,156.8800048828125,15.279642105102539,9.130000114440918,14.015000343322754,,29.829999923706055,20.230018615722656,40.1953239440918,15.489385604858398,13.960000038146973,,28.105159759521484
2019-09-04,27.43363380432129,24.79767608642578,15.699999809265137,2.094306230545044,,11.149999618530273,32.45000076293945,10.606561660766602,26.649999618530273,9.399999618530273,,4.208004474639893,27.889999389648438,5.409237384796143,24.149999618530273,19.579999923706055,10.506336212158203,51.5099983215332,11.270000457763672,40.060001373291016,5.46999979019165,45.47380828857422,6.960000038146973,10.0,18.223352432250977,59.820579528808594,19.440473556518555,13.479999542236328,12.635000228881836,4.559999942779541,9.987589836120605,10.15999984741211,10.140000343322754,11.079999923706055,6.559999942779541,16.54351234436035,45.20000076293945,7.789999961853027,7.860000133514404,8.396177291870117,14.170000076293945,,,,35.040000915527344,,15.579999923706055,168.91000366210938,15.455074310302734,9.369999885559082,14.345000267028809,,29.600000381469727,20.151493072509766,41.72072219848633,15.723483085632324,14.100000381469727,,28.046829223632812
2019-09-05,27.46257781982422,26.706642150878906,15.0,2.2035744190216064,,11.350000381469727,33.060001373291016,10.762539863586426,28.139999389648438,9.329999923706055,,4.178054332733154,27.579999923706055,5.426658630371094,23.610000610351562,20.229999542236328,10.488678932189941,52.619998931884766,11.149999618530273,40.08000183105469,5.230000019073486,46.106903076171875,7.130000114440918,10.260000228881836,18.223352432250977,61.59475326538086,19.254060745239258,14.199999809265137,13.359999656677246,4.619999885559082,10.218293190002441,10.15999984741211,10.1899995803833,11.079999923706055,6.650000095367432,16.468528747558594,45.79999923706055,7.690000057220459,8.220000267028809,8.610466003417969,14.619999885559082,,,,34.91999816894531,,15.380000114440918,166.92999267578125,15.48013973236084,9.819999694824219,14.75,,29.940000534057617,20.151493072509766,42.14664840698242,16.51355743408203,14.180000305175781,,27.910724639892578
2019-09-06,27.395034790039062,26.612136840820312,14.34000015258789,2.185363292694092,,11.1899995803833,33.209999084472656,10.569421768188477,28.25,9.5,,4.208004474639893,27.239999771118164,5.6357102394104,23.59000015258789,20.229999542236328,10.497507095336914,50.88999938964844,11.1899995803833,39.7400016784668,5.199999809265137,46.88837432861328,6.829999923706055,10.100000381469727,17.690448760986328,60.900508880615234,19.227426528930664,14.149999618530273,12.069999694824219,4.550000190734863,10.2086820602417,10.15999984741211,10.210000038146973,11.380000114440918,6.489999771118164,16.68410873413086,45.400001525878906,7.630000114440918,8.050000190734863,8.590984344482422,13.770000457763672,,,,34.77000045776367,,15.140000343322754,169.86000061035156,15.455074310302734,10.350000381469727,14.600000381469727,,29.889999389648438,20.220203399658203,41.59196090698242,16.533065795898438,14.430000305175781,,26.89967918395996
2019-09-09,27.742416381835938,27.188610076904297,14.329999923706055,2.3583710193634033,,11.5,33.869998931884766,10.896236419677734,29.200000762939453,10.699999809265137,,4.073228359222412,27.899999618530273,5.818632125854492,23.079999923706055,21.1200008392334,10.5504789352417,50.08000183105469,11.489999771118164,37.029998779296875,4.940000057220459,45.1077995300293,7.170000076293945,10.4399995803833,17.062387466430664,60.032711029052734,19.34282875061035,13.600000381469727,13.024999618530273,4.519999980926514,10.381709098815918,10.15999984741211,10.210000038146973,11.270000457763672,7.010000228881836,16.67473793029785,48.0,7.599999904632568,8.1899995803833,9.08774185180664,12.960000038146973,,,,35.38999938964844,,15.619999885559082,161.02999877929688,15.5219087600708,11.359999656677246,15.380000114440918,,29.65999984741211,20.61282730102539,41.0867919921875,16.65045928955078,14.220000267028809,,26.462207794189453
