,0
2022-07-15,339.0188570575662
2022-07-16,338.15355494301156
2022-07-17,339.3177511102614
2022-07-18,339.3960819252889
2022-07-19,340.81123743547937
2022-07-20,346.56645727065535
2022-07-21,351.73090690583723
2022-07-22,349.6237180797848
2022-07-23,348.9886165409627
2022-07-24,351.53651812614294
2022-07-25,353.23844018607014
2022-07-26,350.36420563826493
2022-07-27,351.7788295917319
2022-07-28,351.49802042645433
2022-07-29,357.1206928165125
2022-07-30,360.50668061236735
2022-07-31,363.7938096979666
2022-08-01,364.44858105132465
2022-08-02,364.84557827425266
2022-08-03,364.88416325146994
2022-08-04,364.6142864772369
2022-08-05,362.9852797073355
2022-08-06,366.3662472377118
2022-08-07,368.1141523718622
2022-08-08,369.02459689998375
2022-08-09,369.10133645062757
2022-08-10,368.87923462804616
2022-08-11,375.0039436741102
2022-08-12,375.086611260213
2022-08-13,374.93613760950836
2022-08-14,378.2114108575565
2022-08-15,379.317192724154
2022-08-16,381.22213099933776
2022-08-17,378.9003394052207
2022-08-18,377.44187568349787
2022-08-19,377.62513304840076
2022-08-20,379.44611643897815
2022-08-21,381.95233335049994
2022-08-22,384.7480996785631
2022-08-23,383.4206521597271
2022-08-24,388.66028230827425
2022-08-25,384.9630650418049
2022-08-26,383.50073480364944
2022-08-27,387.3744756026877
2022-08-28,386.58996003514494
2022-08-29,389.38909153392007
2022-08-30,390.7941002322575
2022-08-31,388.19540258060124
2022-09-01,386.8739052814735
2022-09-02,384.44593535972496
2022-09-03,385.85975573033784
2022-09-04,386.01838644760596
2022-09-05,383.8053037612698
2022-09-06,385.3865148533058
2022-09-07,383.7414184668956
2022-09-08,379.60547317465085
2022-09-09,378.09079730355904
2022-09-10,378.55689481592356
2022-09-11,378.6971895463254
2022-09-12,376.9608809389185
2022-09-13,376.4365201871558
2022-09-14,379.4558943920427
2022-09-15,376.8896097702358
2022-09-16,372.64048218481935
2022-09-17,370.68779274877994
2022-09-18,372.1976158995516
2022-09-19,369.62708322943064
2022-09-20,370.5404577705453
2022-09-21,372.3665010216348
2022-09-22,373.9343128368783
2022-09-23,375.22657178008427
2022-09-24,373.78941222236034
2022-09-25,374.2229945414868
2022-09-26,373.756318644893
2022-09-27,369.60847989616525
2022-09-28,376.5912356951284
2022-09-29,377.4728060309871
2022-09-30,376.2633586958106
2022-10-01,379.3766544823548
2022-10-02,381.10583590761206
2022-10-03,387.56406918602
2022-10-04,391.93060364737016
2022-10-05,390.89370176909273
2022-10-06,395.57386910964226
2022-10-07,393.9029332303176
2022-10-08,395.2797044260067
2022-10-09,398.16846930212927
2022-10-10,397.3294643020426
2022-10-11,399.88793763033976
2022-10-12,400.5911065871725
2022-10-13,400.08249810278437
2022-10-14,406.35430009063646
2022-10-15,406.6350747781838
2022-10-16,409.7524872009106
2022-10-17,410.2932604038469
2022-10-18,411.56196376515686
2022-10-19,417.80152249156623
2022-10-20,419.93200439476385
2022-10-21,420.8076535219686
2022-10-22,423.907539180358
2022-10-23,422.8381334932302
2022-10-24,424.7568128192875
2022-10-25,424.2744796652221
2022-10-26,426.22325454965033
2022-10-27,426.96698194226207
2022-10-28,423.36848284081674
2022-10-29,423.88337233123514
2022-10-30,426.39785618675705
2022-10-31,424.71238977114996
2022-11-01,424.3078358642489
2022-11-02,421.4512897114709
2022-11-03,420.1711556621334
2022-11-04,425.4884652601473
2022-11-05,428.8555117387882
2022-11-06,430.8062894179017
2022-11-07,427.0453110977343
2022-11-08,429.6553499381308
2022-11-09,433.37103137934497
2022-11-10,431.74369009869537
2022-11-11,429.45317777504846
2022-11-12,432.45179143491686
2022-11-13,435.0780308733159
2022-11-14,434.5535641929173
2022-11-15,434.2505447119277
2022-11-16,431.39064129987685
2022-11-17,428.5672360400665
2022-11-18,424.9671331363705
2022-11-19,424.4239262929059
2022-11-20,427.88146382512423
2022-11-21,425.94224459886783
2022-11-22,419.37488684973687
2022-11-23,420.7933893427033
2022-11-24,418.7410812652593
2022-11-25,421.588396729679
2022-11-26,422.3067642528587
2022-11-27,421.9678417391387
2022-11-28,424.4346736420526
2022-11-29,418.9187878378863
2022-11-30,413.54241470470197
2022-12-01,412.1019945177821
2022-12-02,403.43639909454157
2022-12-03,402.60359263888904
2022-12-04,402.1574930284139
2022-12-05,398.4700039330207
2022-12-06,403.38038665220125
2022-12-07,403.22397227611725
2022-12-08,405.92344743938713
2022-12-09,407.0450309815562
2022-12-10,405.1758064943879
2022-12-11,410.15428603913324
2022-12-12,410.9813027049189
2022-12-13,413.7634299815218
2022-12-14,417.1887511422255
2022-12-15,415.0249562456383
2022-12-16,419.5257499379868
2022-12-17,424.59323147858953
2022-12-18,424.6011553082557
2022-12-19,431.2066262756053
2022-12-20,438.43584482701954
2022-12-21,440.9490446826842
2022-12-22,444.4838573248845
2022-12-23,443.33950090140127
2022-12-24,445.99322142861695
2022-12-25,447.6869894156632
2022-12-26,446.8500074401508
2022-12-27,446.81940680375686
2022-12-28,450.93710019481847
2022-12-29,453.7525299254871
2022-12-30,457.0573353328774
2022-12-31,461.19148582867666
2023-01-01,461.41563741398704
2023-01-02,463.10049354170184
2023-01-03,463.54608885466587
2023-01-04,464.70095549051155
2023-01-05,461.02951074327467
2023-01-06,457.7945093388146
2023-01-07,461.0572538512363
2023-01-08,463.2899802963124
2023-01-09,458.0002783888239
2023-01-10,460.33759816632903
2023-01-11,460.8235071212264
2023-01-12,465.5477175983288
2023-01-13,469.83366397994985
2023-01-14,471.9560413578718
2023-01-15,475.02708039494433
2023-01-16,473.67831452325004
2023-01-17,478.7907011394891
2023-01-18,481.9937148585762
2023-01-19,479.72061753290956
2023-01-20,483.16250715837657
2023-01-21,484.80300696250674
2023-01-22,484.0361564600119
2023-01-23,482.85666778791244
2023-01-24,478.039531996218
2023-01-25,480.6927813784143
2023-01-26,482.15914800403164
2023-01-27,476.77816216336873
2023-01-28,479.55413499413197
2023-01-29,477.60289252684356
2023-01-30,477.7508693111516
2023-01-31,471.0472341714589
2023-02-01,464.66645805112086
2023-02-02,461.97505250483937
2023-02-03,458.82083325152877
2023-02-04,461.69684952048704
2023-02-05,462.7560045396088
2023-02-06,456.29092768735745
2023-02-07,456.326305036807
2023-02-08,455.1683681304807
2023-02-09,448.796647538504
2023-02-10,449.72687623142576
2023-02-11,451.14615920189584
2023-02-12,453.87945140978036
2023-02-13,452.05488514871615
2023-02-14,448.86249648624926
2023-02-15,451.31828249302333
2023-02-16,454.83969530818126
2023-02-17,452.91195084313676
2023-02-18,456.8022587205167
2023-02-19,460.44153482904784
2023-02-20,464.4286367831059
2023-02-21,472.9123888190347
2023-02-22,475.28243476107286
2023-02-23,478.37370712403293
2023-02-24,482.5385556994886
2023-02-25,480.72215033930644
2023-02-26,485.3914967726263
2023-02-27,488.35868444002335
2023-02-28,486.87269062010444
2023-03-01,491.32328290202565
2023-03-02,490.1719336993392
2023-03-03,491.6310906129117
2023-03-04,496.5235600940698
2023-03-05,493.12124546401884
2023-03-06,495.93283559284635
2023-03-07,492.75787966884286
2023-03-08,492.89054156812676
2023-03-09,496.11558882819463
2023-03-10,492.61771161548455
2023-03-11,494.93180856157386
2023-03-12,498.876447547603
2023-03-13,496.42890119901085
2023-03-14,503.7193781856243
2023-03-15,503.39848621997777
2023-03-16,499.37586499618334
2023-03-17,499.8538076159895
2023-03-18,497.76952676601314
2023-03-19,502.61390219620546
2023-03-20,506.66169630270497
2023-03-21,507.53490144098157
2023-03-22,511.52681824817523
2023-03-23,510.9366858001972
2023-03-24,517.2912506562903
2023-03-25,521.6360999881734
2023-03-26,522.0244457660701
2023-03-27,523.5852183576925
2023-03-28,528.0920288612824
2023-03-29,531.2586332271129
2023-03-30,536.9061515851566
2023-03-31,534.3021963898698
2023-04-01,536.0193053267475
2023-04-02,536.1266879825021
2023-04-03,533.5022539950731
2023-04-04,533.9455289296951
2023-04-05,539.2027315174137
2023-04-06,539.5355062024835
2023-04-07,536.4196403629068
2023-04-08,534.3302930331245
2023-04-09,530.702348274028
2023-04-10,525.7022460449402
2023-04-11,518.8955923988184
2023-04-12,515.8834784961305
2023-04-13,513.9504739707946
2023-04-14,511.30726657294235
2023-04-15,515.6437292686284
2023-04-16,516.2048173903144
2023-04-17,509.603994267991
2023-04-18,508.1388407638963
2023-04-19,504.66207436496364
2023-04-20,503.0244705430488
2023-04-21,501.71226892296346
2023-04-22,496.5873086639365
2023-04-23,498.799607858055
2023-04-24,495.888846282058
2023-04-25,495.07311385134767
2023-04-26,498.6317663253633
2023-04-27,500.06065964842657
2023-04-28,508.3731866100717
2023-04-29,512.3768641484928
2023-04-30,512.271049169668
2023-05-01,518.7499777625255
2023-05-02,517.3271892565765
2023-05-03,519.9293487917929
2023-05-04,524.2211065200382
2023-05-05,524.9959728550729
2023-05-06,534.3301979500196
2023-05-07,534.7163601339436
2023-05-08,536.402776532732
2023-05-09,540.9997514132389
2023-05-10,537.5815861838698
2023-05-11,541.2743542787819
2023-05-12,545.9158254017605
2023-05-13,545.5795142416534
2023-05-14,550.6945073932467
2023-05-15,547.0785274761942
2023-05-16,550.349857176292
2023-05-17,550.918195404342
2023-05-18,545.6001244605425
2023-05-19,550.0857733926011
2023-05-20,553.2415610717159
2023-05-21,551.7091911005026
2023-05-22,556.7080668367377
2023-05-23,558.8558408682494
2023-05-24,561.6862628257635
2023-05-25,558.5772474580394
2023-05-26,555.3364743008383
2023-05-27,560.9916628003635
2023-05-28,564.6231240780505
2023-05-29,566.6145741769488
2023-05-30,570.9295177439487
2023-05-31,570.007585847425
2023-06-01,572.2933023861117
2023-06-02,574.8257153039382
2023-06-03,577.2316511689924
2023-06-04,579.8086268450144
2023-06-05,582.6392994966923
2023-06-06,583.8895564515799
2023-06-07,591.1628364947544
2023-06-08,591.0643193353388
2023-06-09,590.4143380685673
2023-06-10,595.5014050186702
2023-06-11,593.2462100757125
2023-06-12,587.378648072564
2023-06-13,585.1335728673929
2023-06-14,583.6637015909096
2023-06-15,586.5405009713656
2023-06-16,577.4564444445152
2023-06-17,571.46547448378
2023-06-18,575.6486001664599
2023-06-19,570.647170235654
2023-06-20,570.7050545925555
2023-06-21,570.3164072995156
2023-06-22,564.0376255490967
2023-06-23,566.3748351584247
2023-06-24,559.9788939098546
2023-06-25,555.2848614823909
2023-06-26,555.4611807255736
2023-06-27,549.0385771948175
2023-06-28,553.4304336404439
2023-06-29,553.0535459228164
2023-06-30,551.9302874728987
2023-07-01,558.7868712398244
2023-07-02,555.2376866266248
2023-07-03,558.1347997430657
2023-07-04,560.7877399463099
2023-07-05,557.8741763766226
2023-07-06,565.1981903212163
2023-07-07,565.014461254221
2023-07-08,567.1741342844459
2023-07-09,569.1057130266975
2023-07-10,566.7446131927034
2023-07-11,572.3271952226346
2023-07-12,579.095193710319
2023-07-13,580.4969109104406
2023-07-14,589.4348351027976
2023-07-15,588.5635736433728
2023-07-16,590.1183849748306
2023-07-17,592.1795651701105
2023-07-18,591.3060109054106
2023-07-19,594.5755443035671
2023-07-20,594.2169507533935
2023-07-21,597.5041750046156
2023-07-22,603.1128662025028
2023-07-23,600.095193315411
2023-07-24,594.620544149261
2023-07-25,596.0418520027043
2023-07-26,596.9731216773431
2023-07-27,600.0141322750388
2023-07-28,604.6752081580892
2023-07-29,608.6061960962944
2023-07-30,610.9000532725341
2023-07-31,612.2186081013674
2023-08-01,616.9414008760019
2023-08-02,620.3724596675256
2023-08-03,621.6394128609567
2023-08-04,623.8298058342644
2023-08-05,628.8606604257027
2023-08-06,628.757574636324
2023-08-07,635.9603455955756
2023-08-08,637.3966658710868
2023-08-09,634.7552893704943
2023-08-10,636.2952396961782
2023-08-11,638.7742883750004
2023-08-12,645.9057746308731
2023-08-13,651.6579803744992
2023-08-14,648.6438781042583
2023-08-15,651.6378903918485
2023-08-16,650.2091975091929
2023-08-17,646.9009136702439
2023-08-18,650.4770794594086
2023-08-19,646.4979364983371
2023-08-20,651.4807471965967
2023-08-21,650.6244116513924
2023-08-22,648.0338139870339
2023-08-23,655.4670739688809
2023-08-24,649.8445047753683
2023-08-25,647.3023180420679
2023-08-26,646.6266002000525
2023-08-27,637.8136777179307
2023-08-28,640.7619964005092
2023-08-29,637.4487637684227
2023-08-30,628.7026297520825
2023-08-31,628.6962619437287
2023-09-01,623.9479437791496
2023-09-02,627.7632616560777
2023-09-03,627.2203389950349
2023-09-04,620.2486879378929
2023-09-05,627.4731081354723
2023-09-06,624.3835411846242
2023-09-07,623.0346760330624
2023-09-08,624.9857082673816
2023-09-09,615.6325083091045
2023-09-10,614.4130037268851
2023-09-11,616.3591723450254
2023-09-12,613.9839583888295
2023-09-13,618.8609192606459
2023-09-14,616.7375066926858
2023-09-15,614.9919793700802
2023-09-16,619.3318199000566
2023-09-17,615.6193688200004
2023-09-18,615.8115335129908
2023-09-19,621.0314113504863
2023-09-20,625.8906980991528
2023-09-21,630.2427073779548
2023-09-22,631.751405750553
2023-09-23,634.0571327649914
2023-09-24,641.6737427430776
2023-09-25,643.5213248277835
2023-09-26,647.7259921165848
2023-09-27,651.7096716808674
2023-09-28,651.854662689376
2023-09-29,662.2209945756504
2023-09-30,664.6032271218625
2023-10-01,658.4387084307183
2023-10-02,662.4484583189776
2023-10-03,668.3860379842632
2023-10-04,672.4399877232507
2023-10-05,679.3227066430431
2023-10-06,679.6339875919825
2023-10-07,688.6080096010279
2023-10-08,687.7775367054587
2023-10-09,683.4848669282123
2023-10-10,690.9581111027136
2023-10-11,690.135591963602
2023-10-12,696.6799375385734
2023-10-13,703.0129076373744
2023-10-14,701.7571873437339
2023-10-15,705.7970382185455
2023-10-16,706.3967337909014
2023-10-17,708.128932979049
2023-10-18,713.2758618655904
2023-10-19,703.7479814909385
2023-10-20,707.4020599817634
2023-10-21,711.2480770882963
2023-10-22,707.5491041517398
2023-10-23,707.7751397354261
2023-10-24,706.442544588736
2023-10-25,711.2512397654955
2023-10-26,715.326004782008
2023-10-27,715.541486827625
2023-10-28,727.8717434102787
2023-10-29,727.7916341621608
2023-10-30,725.8618210357614
2023-10-31,728.1056287787553
2023-11-01,723.0836184828931
2023-11-02,722.1707480417562
2023-11-03,722.7770757842127
2023-11-04,718.4402300719311
2023-11-05,720.5731525976141
2023-11-06,717.5673412602256
2023-11-07,715.7285169178725
2023-11-08,714.0103112992543
2023-11-09,708.5909877010804
2023-11-10,707.8605818727607
2023-11-11,709.3954180860652
2023-11-12,703.3732863199511
2023-11-13,702.9544696671069
2023-11-14,696.7233666462434
2023-11-15,690.9778699101038
2023-11-16,692.518432354815
2023-11-17,688.1077601768997
2023-11-18,684.3692555446343
2023-11-19,685.3066816013866
2023-11-20,681.3093700315774
2023-11-21,683.8662308235976
2023-11-22,680.9214852433158
2023-11-23,675.3664165148682
2023-11-24,680.0127067196885
2023-11-25,675.4795113861386
2023-11-26,674.7127754593153
2023-11-27,680.9367722029853
2023-11-28,679.6521128867303
2023-11-29,686.6195464912549
2023-11-30,686.7102183017408
2023-12-01,686.3306374532104
2023-12-02,696.0950449467922
2023-12-03,693.7393235047783
2023-12-04,705.9437023092588
2023-12-05,720.5782841359135
2023-12-06,716.9522678211783
2023-12-07,724.3878249110859
2023-12-08,729.6543811922489
2023-12-09,731.6401335836185
2023-12-10,736.9873673847545
2023-12-11,731.7002899620014
2023-12-12,740.018478143126
2023-12-13,745.4238090266106
2023-12-14,741.9857025182241
2023-12-15,750.8453505865375
2023-12-16,751.6968537662807
2023-12-17,751.0425443186607
2023-12-18,758.4430332467298
2023-12-19,760.6601379061882
2023-12-20,772.0275997475244
2023-12-21,773.0237399596629
2023-12-22,768.3476632635986
2023-12-23,769.8362994412563
